NAMA,NPWP,skala_usaha,nilai_transaksi,jumlah_transaksi,score
Fresh Spray,564356589070555,2,61379686022,1083,17.35
Freshwave,572258049068555,2,15820295225,149,18.96
Fruetta,586579804876555,2,54260669746,783,16.83
Fruit Club,450631657957555,2,10898416378,1244,25.42
Fruit Gear,561820312170555,2,11659388714,64,30.69
Fruit Mood,766693621906555,2,35703044366,276,32.38
Fruita,201097618060555,2,92360337385,694,16.04
Fruitends,302335091102555,2,41624105798,3888,41.40
Fruitose,572381641088555,2,78421752467,527,22.78
Fruttin,560282282906555,2,10019403957,67,20.20
Fumuzza,577022853076555,2,19603358274,142,13.03
Future Rainbow,567786594856555,2,12084903380,66,32.50
Fuzico,576435502967555,2,62560020888,4093,16.49
Fuzz,570820006886555,2,32145133241,433,25.57
Galaxy,867959354987555,2,11376624941,1077,18.26
Gaurish,575035883070555,2,96082286991,3184,24.33
Gentle,578298165670555,2,45433709852,333,16.98
Gibson Langosh And Veum,563370348502555,2,86457169877,1113,19.72
Gigaplex,561961249061555,2,43114253864,2053,29.45
Gingerbread,765040188997555,2,68945612334,507,17.11
Gleason And Sons,562728856502555,2,15422041866,312,19.14
Glizz,562304009971555,2,54291904238,1904,36.13
Goddess Made,569858193957555,2,48913058214,1228,35.09
Goldmine,568896871966555,2,21702746587,758,31.95
Good Time,867814118062555,2,20801307528,235,43.78
Gorczany Group,510526954661555,2,10401419710,25,30.69
Goretex Toddlers,862147490987555,2,32163566319,2272,23.27
Graand,291918826171555,2,65073711064,432,31.11
Grain Treat,576064326450555,2,15537845778,632,33.23
GrandmaS Doily,270692549073555,2,11697449322,130,11.23
Grapefruit,563748539196555,2,74754753085,3654,40.98
Gravitease,566636913886555,2,57774552637,486,19.60
Gravity,869202171971555,2,20363227700,178,12.66
Great Ryder,578457405956555,2,91158639223,1024,20.46
Green And Sons,560114442559555,2,40314149104,12849,20.14
Green Bay,790971979068555,2,16527306223,219,16.10
Green Field,564951304986555,2,57792858902,453,25.59
Green Frog,560655430971555,2,75087183886,1852,21.63
Gretel,563329544886555,2,19630224676,363,32.96
Gristle Gang,385060721259555,2,91534825433,1207,24.81
Grizzly Bare,566540220196555,2,92163019134,6266,40.75
Groove Cab,860891073170555,2,56206309872,415,14.47
Groove Thong,860720280951555,2,77236828918,399,22.43
Guernica,569128272670555,2,56220100222,723,22.15
Gumby Logic,765729875197555,2,96462384833,5763,28.16
Guru Sum,267200694086555,2,56020256867,187,15.10
Gusikowski Mraz And Homenick,567824096852555,2,64581646947,765,18.54
Gutmann  Morar,568962745580555,2,49452482659,662,34.56
Hack Scene,377729311958555,2,60717020988,696,39.71
Hair Candy,561043046969556,2,31637798137,3716,36.55
Hair Peace,562582285958555,2,19946872248,2670,30.57
Halcyon Arms,868397495072555,2,96954511580,902,14.08
Hamburger Centrifuge,579231783068555,2,90028117401,546,17.36
Hamill  O'Connell,563798344502555,2,93029540877,1136,67.40
Hand Fly Coordination,869224688971555,2,52423489966,84,40.34
Handmade Mist,867959824063555,2,40949425265,331,44.73
Hangout,568469867967555,2,30573913735,4326,27.71
Happinezz,577500312099555,2,12209802274,712,32.23
Happy Snout,566852775971555,2,19495933062,540,37.21
Harr D,695329909072555,2,14936795871,131,61.46
Harry Blower,586965450870555,2,22035848193,109,12.46
Harry C,569960492981555,2,24881874853,126,31.19
Hash Puppets,862718043952555,2,14100333240,833,30.54
Hawkster,286374122170555,2,18243670199,444,25.86
Haxed,570847027088555,2,30933424811,443,22.03
Headbanger,111309352167555,2,46733312905,522,13.56
Headwind,575995799050555,2,28407122668,248,27.97
Hector Food,579245074068555,2,14414113111,183,14.47
Heelmouth,560175114987555,2,37462489330,146,14.04
Heidi Heist And The Big Britches,575882789971555,2,37846553125,982,25.40
Heidi Heist And The Eight Ballers,569135523179555,2,50268188148,137,10.26
Heir Of The Dog,860655686063555,2,16010790153,43,18.82
Heist,568622077906556,2,12675177177,569,35.31
Helena Handbasket,296400743950555,2,10390158818,176,16.42
Hello Sweety,302855841170555,2,27875375036,620,36.92
Hemline Of Fire,572135437074555,2,65950502129,765,16.73
Henry Bloggit,866445494980555,2,11417618004,663,17.86
Herbal Underground,569103446159555,2,22972949801,408,19.02
Here  There,575881062983555,2,15548502581,120,20.93
Hermes Spermes,577100400170555,2,14688773973,151,34.03
Hex Rex,570962220987555,2,45090874251,1596,22.68
Hill Top,869009479157555,2,23867262966,542,35.60
Hoonpoon,296828244573555,2,77703319483,3579,39.96
Hopo,511256912167556,2,40380892741,101,20.55
Hot Happy,575140483063555,2,15663902728,139,20.13
Hugo Bright Company,577034203079555,2,48401937347,639,34.75
Ignix Lights  More,572363377086555,2,75184724558,499,23.25
Ikon Lighting,569357780197555,2,82334751645,214,16.14
Immensa,869272059971555,2,39420685562,489,33.55
Infuse,569776500999556,2,11188782552,280,30.96
Insta Ray Lighting Inc,280852853170555,2,33400248735,129,28.36
Instant Salsa,571442487070555,2,13085294114,88,13.45
Johnson  Jaskolski,569930436990555,2,77409854129,75196,39.07
Jones Group,563373300502555,2,27302315070,1185,21.06
Justfille,867087723063555,2,43322679552,1970,30.13
Karma Diya,291786274886555,2,97011518673,625,12.51
Keen,575097139167555,2,11968811292,291,24.85
KingS,208575527060555,2,56285251710,207,12.50
Kitchen Hues,860223935971555,2,11164374910,1360,17.39
Kitchen Quest,586034667179555,2,38551251598,305,12.74
Kitchen Savvy,575763369958556,2,19853903360,19,63.01
Kiwi,561240824906555,2,55457668496,582,35.51
Klovvy,566769243079555,2,85307656235,1684,28.97
Koelpin Jerde And Carroll,561607414593555,2,24862043044,1070,50.86
Kulas Lang And Mayert,572958378959555,2,35071266139,1845,18.29
Legend,586451224088555,2,67730877246,276,15.94
Lip Gear,577118701170555,2,84309342871,1377,23.92
Liquid Lush,800691738068555,2,42359666338,72,41.98
Love Potion,860793154170555,2,42657118193,357,31.04
Loveray,569173565051555,2,37773813832,707,30.86
Lugosi Cab,568477231966556,2,50578574611,2952,54.21
Mad Mind,566788997106555,2,18793541619,131,10.77
Madhav,561184949169555,2,20730383282,1336,36.35
Magnet,577434049063555,2,95969684134,5979,26.90
Magnofy,569956722167555,2,13469593543,193,12.92
Majestic,863777444068555,2,12500638052,604,15.82
Maple,563933750074555,2,67477632447,1395,18.75
Marvell,382289101952555,2,24209714468,140,12.20
Marvella,513309446192555,2,95945890634,2285,35.64
Maters,459763822906555,2,57740048448,726,30.28
Max Gel,298629659169555,2,39460726511,1073,28.08
Mayfield,212706185060555,2,55331502570,249,14.03
Mb,291673411191555,2,10021878006,19,61.35
Mclaughlin And Sons,569027169670555,2,22058762606,193,12.67
Mercury Cab,799121756170555,2,15935681763,283,25.54
Mertz Turner And Mante,361104139984555,2,10742122884,185,20.19
Metex,213809127256555,2,19140125435,132,13.68
Mettle Gel,562778562406555,2,80026583987,941,40.24
Meuvo,373227088167555,2,12409164348,435,31.33
Mickey,577858712167555,2,62567939553,552,27.79
Miskey Butter,579509727058555,2,78329599321,1354,32.98
Miso Much,110181345068555,2,14206845408,239,22.48
Missy,564245236198555,2,15471207342,1355,35.69
Mitchell  Corkery,565564809959556,2,15147024520,1454,24.50
Moi,561754628150555,2,46955897666,346,35.21
Molten,253880939051555,2,16357449205,50,25.30
Molten Plaid,564276736060555,2,56162879616,16029,34.29
Monkey Double,560306174266556,2,26054116462,17,34.36
Monsoon Buffoon,374462219079555,2,40133125126,198,19.33
Monte Mobe,210648106279555,2,62369722390,60,10.57
Moo,575805905061555,2,20122602187,347,18.84
Moon Boon,570080633969555,2,37965706349,1097,18.97
Moose Toe,561672531101555,2,45437235279,1093,31.73
Moral Less,587549964058555,2,68183279223,709,38.03
Morya,577859322197555,2,49932237548,501,14.73
Mosh Potato,563343362063555,2,24440313628,106,14.59
Mountain Pick,115746930100555,2,58893772539,1719,41.63
Mr Big And Tall,575262715061555,2,26652201964,1036,23.90
Mr Big Bend,215984191167555,2,62216843124,474,11.30
Mr Buttondown,575363671179555,2,10745712215,13,30.69
Mr Demeanor,569044972076555,2,52472420348,455,19.31
Mr Down And Out,575389320954555,2,34218660113,3277,19.66
Mr Flosty,217650947072555,2,14720811557,324,57.81
Mr Fortnight,577521062160555,2,14532604362,2195,38.06
Mr Losty,564682537450555,2,50085195564,7628,28.33
Mr Shirley,357944351058555,2,42952775981,938,28.84
Mr Tee,562764410157555,2,57621946004,1824,22.03
Mr Wonderful,563893812151555,2,36184253053,81,62.65
Mraz Group,374972722670555,2,85487943479,104,30.69
Mrs Beasley,302426443172555,2,65487122996,415,31.69
Ms Dialed,560162476106555,2,63817214864,1218,68.94
Ms Excellency,563833941197556,2,88868513828,13100,30.86
Mud Puppet,587871703060555,2,97374608387,804,23.68
Mueller Carroll And Ratke,561210637678555,2,36981515787,217,9.63
Muller,356711817050555,2,25448024599,371,23.10
Mundee,396329935190555,2,36513331946,262,18.72
Mystery Mind,861619293088555,2,39166962397,324,12.89
Mystic,215489464063555,2,15034667376,1403,14.03
Nader Ration,560043460276555,2,16751727384,74,33.21
Naffing,274938437987555,2,57553857640,1875,27.77
Naive Et,385897001197555,2,27516798943,288,23.54
Nanyxsi,699150606386555,2,15729527651,80,13.48
Narthex,572793847983555,2,88016812739,1092,20.83
Nastylicious,866424489068555,2,97044912188,546,14.62
Nature Pick,586201322192555,2,55583264722,865,25.09
Nature Touch,560548007987555,2,40727528067,6299,32.71
Naturefeel,568274230256556,2,34877079220,4,8.51
Nectar Princess,209701155098555,2,35926826415,400,13.85
Nefarious Splendor,563153215167555,2,19372807993,249,19.80
Neocent,287220035167555,2,13296189499,191,32.39
Neoveu,860844518197555,2,89803955642,622,24.22
Nerve,569967505169555,2,73432017011,128,11.21
Netstalgic,564007610369556,2,21650066817,83,18.83
Neville,365936100974555,2,12651455609,188,21.29
New Gut,569244283162555,2,21240991213,699,31.69
New Orleans Ivan,577546036197555,2,31704232981,6242,37.80
New Whirled,575364024179555,2,89892860308,2010,17.18
New You,303829118063555,2,66187807119,134,16.08
Next,861159694179555,2,23170276682,568,12.34
Next Of Kin,564204068160555,2,47883295667,1020,35.18
Nitzsche  Ondricka,563373096870555,2,27058333805,146,10.73
No Convent,392391119170555,2,29743032133,777,34.28
Norse Nurse,564426844058555,2,54960429230,1317,15.30
North Estella,522345482050555,2,62274537772,410,20.95
Novvin,596224266107555,2,13500821158,492,43.79
Nudzhed,381466635108555,2,95089207310,589,23.14
Nuzzled,510147922177555,2,50680522495,396,10.13
Nxt,285698442157555,2,63847502834,1164,26.90
Oasis Ozone,287785272100555,2,22386251299,275,29.58
Obelize,562194517068555,2,23741882815,312,15.57
Obey,526155612056555,2,69975103429,97,47.96
Objects,280107330163555,2,11844404000,109,28.10
Ocean Drive,393526792190555,2,23220051234,330,22.98
Octacrest,571779401167555,2,14604204162,299,14.43
Odd Crew,560346400277555,2,25243089814,322,24.04
Olly,117589536068555,2,69870062906,719,29.06
Olson Inc,568518871553555,2,59013973165,659,67.11
Omnific,560061106058555,2,35173219294,1134,31.58
One World,577038273074555,2,63380510189,963,17.64
Onoppono,264530044100555,2,23987101868,206,23.73
Oppugns,862511636100555,2,36363167031,516,28.69
Optimus,576023878077555,2,28957257623,94,11.21
Opullo,575363663167555,2,11747561472,865,29.91
Orangueeze,561728707078555,2,80054299984,992,33.54
Orbaze,567615528252556,2,31498875517,25,30.69
Orga Bay,209279269058555,2,60557144635,436,19.31
Osis,379348656087555,2,39075257996,80,10.34
Otsubo Design Squard,569137679106555,2,17038401533,877,35.53
Oulton,564960503167556,2,93342392355,1379,22.90
Overlax,587952602257555,2,26089243877,438,17.71
Overply,371894871060555,2,83480532882,139,22.90
Oxblood,869608544076555,2,14922527205,89,16.86
Oxfords,571889194971555,2,22169521932,71,11.21
Oxidize,375920324088555,2,12144165646,143,24.09
Oxyacid,577651190197555,2,32087142042,701,30.76
Oxysome,575376071179555,2,41227965015,497,22.31
Ozonate,569991687071555,2,22554532657,787,19.56
Ozonide,868175022170555,2,48265129114,422,13.49
Ozzon,564960214068556,2,43081381116,806,17.87
Packman,265813474079555,2,92609931558,478,21.32
Palazzo,572191438256555,2,22059204451,148,10.95
Papal,585047456386555,2,35553308301,259,11.09
Paper Brains,863561194386555,2,13019113932,2,40.17
Parker Connelly And Ritchie,568024734516555,2,49741653678,246,50.06
Pasquil,291860259157555,2,13035643696,2163,33.55
Pave,567805244156555,2,17727745923,60,21.05
Payback,579029625063555,2,20055333616,510,24.37
Perjury,575521551157555,2,53300903059,6409,39.95
Phenoxy,765935894971555,2,68613100971,914,39.23
Phoxwave,579808905277555,2,12542026314,214,22.74
Pickaxe,568174192407555,2,23801577341,10,43.46
Pigeon,867871698097555,2,94539761844,255,23.80
Pink Wave,569450286196555,2,65139613156,370,27.08
Playbeat,577850147956555,2,80818886664,1434,25.55
Plumply,569428995159555,2,13320399429,142,35.07
Postbox,565564157269556,2,21146042806,25,25.11
Pozoles,765136028906555,2,26805058250,368,22.92
Prasadan,586369840198555,2,49598440449,840,20.52
Premiere,299858083170555,2,36040071866,279,18.17
Preserva,560367216179556,2,34314161855,420,23.03
Presidio,587871232060555,2,48599197785,830,8.68
Primeria,562095534356555,2,13955520637,1143,47.37
Prix Fix,564961600163555,2,28887067828,3048,30.65
Psyclopes,564716768106555,2,89123998645,641,29.35
Pubic Coil,353137893987555,2,77609129166,995,33.44
Puckish,261723198076555,2,88136027593,220,14.37
Pudge,398561669073555,2,34686291617,322,26.87
Pulques,256885194100555,2,96255217686,1008,12.87
Pulze,565151599406555,2,75592729057,771,29.95
Punish Mint,577520120160555,2,61177034935,2491,20.70
Puppet Box,371291538197555,2,14195858899,248,33.52
Puppet Fear,562706504100555,2,61957066642,2372,27.86
Puppet Mustard,861410558276555,2,54468616775,182,66.07
Pure Kraft,860286041099555,2,20836330003,251,17.94
Pure Passion,201273217088555,2,41592872823,488,26.29
Purple Town,573717781197555,2,75543798307,621,16.37
Pussy Baton,585228973063555,2,96176003302,3923,32.06
Puzzled,563832638159555,2,32915280999,202,14.12
Puzzler,206205770170555,2,82377798164,891,15.26
Qiviut,577742668167555,2,14083967635,118,17.83
Qualmy,387736878060555,2,38446083003,239,31.48
Quango,380344189526555,2,47616297424,698,38.84
Quarks,521031915060555,2,10963556872,59,23.57
Quarry,867826007167555,2,32032770919,130,30.69
Qubyte,564708864196555,2,11096813358,159,39.46
Que Papa,450820647190555,2,36919801592,340,66.62
Quiet Papas,561964351061555,2,61382019504,1240,32.17
Quirks,566650508256556,2,21721279376,126,32.21
Quiver,572683586167555,2,54033791951,191,16.13
Quizmu,698619474277555,2,21540374890,115,10.76
Qult,862364505102555,2,19923093974,121,14.10
Quokka,813643355088555,2,52505470702,12,40.17
Quolls,216136650166555,2,93330893972,1329,25.58
Qwerty,569838179167555,2,13987281891,634,26.41
Rabbit Lounge,561604138407555,2,52511768120,5338,31.31
Race Whores,860350490076555,2,39427175553,223,14.35
Radio Underwear,561161145198555,2,19120392243,1982,33.31
Random Excellence,560440492162556,2,36849605488,1079,48.26
Ray Rye,578438886076556,2,52528045418,411,23.21
Ray Taxi,562745239459555,2,70765698525,2419,18.23
Reap The Mercury,563154090197555,2,27268234072,159,11.74
Rebar,575616882171555,2,27473644000,596,32.06
Rebel Factory,563670210063555,2,86924351155,1258,18.94
Recordshop,563418471068555,2,17004852982,50,9.75
Red Bliss,565563381286556,2,14094672129,109,31.02
Red Concrete,586486356074555,2,13965483128,137,11.79
Red Spices,860729430163555,2,47995034232,702,17.42
Red Velvet,576695398190555,2,21243938591,99,14.32
Reichel Price And Hansen,575894578502555,2,74592660688,4933,29.48
Remotion,308793087170555,2,87045838917,1443,34.18
Reno Boy,568770983277555,2,81410011050,66,22.92
RenoNo,563786133167555,2,17326091469,120,17.66
Reserve,571458707406555,2,39404419597,70,30.86
Resple Light,579474522100556,2,38516084189,316,12.77
Retro Rococo,453156817581555,2,24663141394,6,62.69
Reverse Curse,390590110163555,2,68405249316,1038,24.49
Rippers,560997931198555,2,48150619362,439,23.22
Ritual Visa,384767502162555,2,58563372432,1414,35.10
Road Kool,519416080157555,2,14166622405,296,41.65
Road Quil,577742858197555,2,22122089520,542,16.99
Road Rabbit,563127650670555,2,16432355687,1503,26.18
Roadlicker,568748775269556,2,10324939979,226,34.27
Robotox,392763939272555,2,28886676576,247,21.31
Rococo,577153765259555,2,17661526057,151,12.85
Rodriguez Group,350597248761555,2,15376524563,440,48.85
Rogahn Kertzmann And Effertz,282629558877555,2,26752256418,2577,37.37
Roll Aid,586830718287555,2,70653052552,353,21.82
Romaguera Inc,587018075776555,2,12615699132,233,22.40
Romaguera Schulist And Kub,575501652970555,2,34077759932,717,33.83
Roman Husband,587044178256555,2,22216805845,196,11.39
Roob Group,569394003886555,2,10102123526,336,29.92
Roseblood,868476059159555,2,30803360275,275,17.92
Roumy,294790808088555,2,54390363295,69,31.55
Royal Lush,208143894258555,2,14912066291,6,29.52
Rubber Slapjack,562730833452555,2,80029457187,555,38.05
Rude Bone,569675736367555,2,29166104095,254,22.05
Saddle Loverse Par T Band,564962865167556,2,36725526950,171,22.10
Saffron Sand,276115653170555,2,69746434304,512,22.78
Salon Da Bomb,308646236150555,2,24266204249,112,42.85
Salsa Closet,561127809256555,2,28222342182,163,10.40
Salvaged Beauty,565157539497555,2,36429481543,70,42.77
Sandy Surf,867096163170555,2,43983038237,225,13.72
Sanford  Leannon,563379036670556,2,53540583822,476,14.58
Sara Soda,212971629109555,2,50509382974,684,24.69
Sara Vellum,564189493400556,2,35196631311,54,29.70
Sars And Stripes,587331369256555,2,12245531515,212,20.72
Schuster  Mcdermott,568770967573555,2,21763215166,392,35.38
Seabrook,562638154106555,2,14477252767,377,26.53
Seensil,587668988400555,2,19412239836,75,15.73
Signia,569791812286555,2,18495475948,124,29.86
Skywings,576831983167556,2,20041881659,149,40.98
Smith Group,560858358662555,2,17515403454,217,16.25
Social Zap,562868007356555,2,56678636115,2730,39.13
Spice Hut,567003317407555,2,15965109211,80,59.03
Spirit Swift,561968949379555,2,20351414154,275,32.04
ST Demonseed,264200697267555,2,13444065496,203,47.33
Stamm Boyle And Schumm,569924282977555,2,52189754799,4980,35.97
Stanton Conn And Labadie,562304555971555,2,33244115699,1211,26.31
Still,568430594581555,2,45140603268,964,20.78
Stimullas,565577506502555,2,37879359610,452,28.94
Stoltenberg Stehr And Stokes,560476795592555,2,28893326364,2087,36.11
Stox,251626419588555,2,37220147695,3866,39.37
Stubbon,565586622586555,2,15321710265,55,26.30
Sublite,376351030559555,2,96628296485,3554,29.24
Subtext Creaives,563373666502555,2,57478540304,2195,34.32
Swayam,572461791572555,2,75429811117,954,29.97
Sycamore,575719247502555,2,16286938778,650,21.30
Teebuddy,565140469502555,2,21504745100,20,10.17
Teepstick,567387086562555,2,21069306856,76,31.68
Tender,568584855579555,2,11532336226,28,30.69
Tic Tac,563053118670555,2,69013183859,811,14.79
Tiki Tak Cake,561588665598555,2,14350386356,206,20.75
Tiny Taste,576378787551555,2,12629858324,437,13.70
Tiptap,568510165569555,2,57330349508,2427,34.23
Toasttellier,587209136569555,2,14169374090,38,30.23
Toboso,563370753502555,2,85922011906,810,53.23
Too Much Cab,578634658552555,2,29889051906,610,36.36
Towne Group,204705649670555,2,55285804289,411,25.90
Townville,867975988568555,2,20063628851,73,62.03
Tranquil,565268203502555,2,36463808907,3120,32.13
Travel Surf,563995371568555,2,21190138265,709,27.14
Trendy Minds,562623202573555,2,13678358363,133,12.88
Trive,576485234502555,2,16830277775,5,30.69
Trivia,568635162551555,2,16659556653,509,37.59
Trueweil,563786109502555,2,21684956294,1506,47.77
Tulips,563682306598555,2,21423665742,1005,50.67
Turner Jones And Casper,567931329256555,2,15058998791,61,61.35
Turtle,869162250670555,2,12384615280,662,23.45
Uproar,572975992518555,2,20845920534,57,19.82
Urban Dance,860224554670555,2,28706150835,114,12.30
Veum Cartwright And Friesen,565377715502555,2,41401844450,1490,18.42
Vibe,568647290587555,2,11161185875,197,34.07
Victa Bay,568142777553555,2,35428471885,141,30.69
Vienna,566996954058555,2,64397231465,4157,43.35
Violet,368349606587555,2,10036933477,206,50.09
Vita +,575409300957555,2,50212927533,6246,42.09
Vital Pulp,575527055677555,2,89040975889,889,27.34
Vueeray,575207647776555,2,17222865945,244,9.60
Walter  Hermiston,867830686670555,2,44802625823,320,11.63
Watersprout,565176737571555,2,81774352867,707,32.56
Wehner  Rodriguez,565163527502555,2,36338302817,1012,35.28
Well Ray,568267352588555,2,69940223199,1777,36.46
West Bay Cab,562696566676555,2,49216928960,936,30.69
White Cab,570356458776555,2,58438588863,728,14.96
White Secret,363531150577555,2,61905595251,605,37.92
White Sure,200909270987555,2,31378190554,700,17.92
Why Fa,860034902531555,2,82953421163,2022,23.42
Wild Leaf,561419131592555,2,17527613010,1034,36.92
Willms  Maggio,515117714957556,2,37743726529,1259,33.40
Wise Ass,257505056667555,2,39557587849,456,17.18
Xrbia,308462665776555,2,14467821729,230,31.57
Yo,568863689502555,2,31882423327,388,34.73
Yost And Sons,862352056906555,2,15614931727,287,18.50
Youth First,575151274958555,2,28201050138,1999,38.08
Yukta,568032168592555,2,49756724761,1123,32.14
Zellion,568650979573555,2,37051525612,471,26.00
Zoop Zap,568437441589555,2,16849763161,955,30.73
Zovit,563225686571555,2,25131729672,128,64.18
Zyrex,563598215581555,2,12893962517,269,31.92
A Bigday,585225599063555,1,,,
A Crumble,563355681667555,1,,,
A Dreamstick,564926217767555,1,,,
A Pie Basket,563351183860555,1,,,
Aanya,977798641953555,1,,,
Aarambh,567844928888555,1,,,
Abby,218733652968555,1,798735820,95,14.08
Abernathy Inc,578553452950555,1,,,
Absolute,408978986993555,1,,,
Accouze,566808274590556,1,12323755,17,60.19
Advik,562138484769555,1,,,
Aesthe,561217289869555,1,,,
Agels,575676611764555,1,,,
Aikman,563211609670555,1,9548283,2,61.35
Al Buron,563983407531555,1,,,
Align,567238626877555,1,9904698,9,60.96
Alive,565586988527555,1,152785105,11,61.35
Alive Sip,568683954957555,1,8408955205,577,33.52
Alley,560612611670555,1,,,
Alpine,560806702888555,1,,,
Alta,569222792961555,1,,,
Altis,560583416767555,1,,,
Alvario,570831492957555,1,,,
Ambiview,566853393973555,1,1368885840,88,31.23
Ampy,469251099992555,1,7315555,1,61.35
Amrit,568748775526555,1,27553794,29,61.19
Ananta,563350043859555,1,,,
Ananya,567510950886555,1,,,
Anmol,574901109656555,1,,,
Anne Joseph,569327146670555,1,,,
Annex,418203734968555,1,,,
Apexster,697151277952555,1,8731848770,714,43.67
Aplomb,575346272971555,1,5994238799,306,13.17
Appin,588803079971555,1,11065830,6,45.51
Arbo Cement,458993404969555,1,145456105,11,40.34
Archstone,528445839662555,1,,,
Arista,458852784969555,1,953826685,9,61.35
Aristo Glory,861275803987555,1,124646660,12,40.34
Aristo Siesta,563792840502555,1,412110891,31,23.56
Arria,256812675670555,1,4555555,1,61.35
Arshiya,375186688950555,1,110527005,3,61.35
Ascap,529829314850555,1,,,
Ascot,523573884060555,1,,,
Astral,575330969981555,1,119494406,24,29.54
Astre Light,566861867980555,1,5862814251,142,33.43
Astron,577306926868556,1,,,
Athena,563372353988555,1,,,
Attrubutes,568077082599555,1,3492213704,133,26.49
Audioshade,567786362886555,1,39109095,27,61.35
Auris,298355319959555,1,,,
Autumn Spree,574356769959555,1,,,
Avalon,569746818060555,1,,,
Avvron,566575386764555,1,,,
Awe,998947805062555,1,415091159,12,42.64
Axl,454644599969555,1,6380052109,268,35.88
Ayumi,569333276764556,1,78946665,3,40.17
Azla,513715321670556,1,,,
Azyo,578690494969555,1,,,
Bahringer  Gutkowski,569009191960555,1,,,
Bailey Inc,862267700777555,1,667994815,133,61.35
Bakefeast,569315539866555,1,,,
Baker Nest,861393638984555,1,,,
Bakesmith,563374763507555,1,,,
Banney,575998726877555,1,,,
Barefoot,510566570959555,1,,,
Basic Love,568263308531555,1,329826712,393,65.66
Beahan Inc,563129902669555,1,62055555,1,61.35
Beaumonte,862482085667555,1,,,
Bechtelar And Sons,566608955886555,1,,,
Beembox,569066258950555,1,,,
Belle Butter,569127033670556,1,,,
Bellwether,576421302967555,1,,,
Berberry Wish,274226783968555,1,47130385,7,40.17
Berry Fresh,569054468950555,1,,,
Bespoke,565260349853555,1,5737163918,75,13.62
Besque Be,464062317968555,1,1648409300,103,22.40
Better Blend,797419038970555,1,,,
Big Dude,452201184971555,1,6002256647,138,62.69
Big Floyds,566722331886555,1,2791219,17,49.80
Big Foot,869035581088555,1,,,
Bigvision,862983753963555,1,5097199934,231,31.43
Black  Spicy,575861203766555,1,76822220,4,61.50
Black Curve,565556906516555,1,,,
Black Trace,492990475170555,1,,,
Blackor,577421228074555,1,1346342034,36,61.30
Blanda Schulist And Daniel,570352933987555,1,3183362,8,61.35
Blay Bulb,586724772777556,1,,,
Blaze,570646304958555,1,83557775,5,61.35
Blendberry,209222374968555,1,1354355075,66,29.42
Blendblast,568098278886556,1,1791690241,129,64.33
Bliss,564305362971555,1,,,
Bliss Taxi,860497531279555,1,,,
Bloom,565369712989555,1,,,
Bluba Bee,576103597988555,1,,,
Blue Bundle,765724197950555,1,,,
Blue Cigar,253379833987555,1,,,
Blue Dash,302810093908555,1,709093731,9,61.35
Blue Monk,579779221969555,1,4090909,2,61.35
Blue Pepper,306241491992555,1,9455465,3,61.35
Bluebell,587296150951556,1,,,
Bode  Jones,517090313670556,1,,,
Bond,564928892764555,1,,,
Bonefly,585874436878555,1,,,
Bonjuzz,302498137980555,1,82344440,8,40.34
Boo,571488672761555,1,,,
Boost,569004562974555,1,,,
Booz,568543679777556,1,,,
Booze,561881215873555,1,,,
Botsford  Zboncak,596276308592555,1,19170542,12,61.35
Bou Bee,525775800866555,1,,,
Boulevard,363035863886555,1,9752982293,107,25.17
Bounce,569007286906555,1,,,
Brand Recall,399531230776555,1,,,
Brand Reset,566610454763555,1,,,
Brave Finger,571467831971555,1,7569670621,83,12.82
Bravo,765933408958555,1,4340735487,85,30.48
Bread Basket,573982332971555,1,9044020588,162,11.67
Breeo,575719991502555,1,2383664732,38,22.34
Breva Speakers,569362844179555,1,,,
Brevva,380494380060555,1,7568022269,74,61.35
Breyerss,567861609769555,1,,,
Brie,570669167951555,1,,,
Brown Bee,576094671966555,1,6838996273,68,40.38
Bruen Watsica And Schinner,566609052676555,1,,,
Brytex Light Company,573055362776555,1,,,
Buckridge Leannon And Hayes,568104841582555,1,,,
Buddha Bite,514158455768555,1,,,
Buildwell,567141069768555,1,,,
Bull  BearS Tee,567133868768555,1,,,
Butter  Bread,577443562957555,1,,,
Butter Bum,587125995530555,1,,,
Butterbox,495110309073555,1,,,
Cake Connections,269229725988555,1,,,
Cake Fiesta,862980203906555,1,5213502720,104,13.73
Cakesmith,511749266859555,1,,,
Cakolicious,492823296981555,1,,,
Caky Nest,560509041070555,1,29231110,2,61.35
Canning Beats,561861268887555,1,14370507,7,41.72
Canolli,560567777670556,1,,,
Cante,570768365970555,1,,,
Cape Spices,578795442952555,1,8460721212,2615,14.29
Capueno,569086686679555,1,2529831162,367,30.24
Carlott,575636567768555,1,,,
Carroll Group,563370546502555,1,5177055510,82,30.69
Casa Blanca,471776988970555,1,369400855,21,52.70
Celyn,525937640087555,1,,,
Cemech,595173373856555,1,,,
Central,454354577964555,1,2095063,13,40.51
Charred,596199064859555,1,,,
Chill,585459410953555,1,,,
Christiansen  Quigley,457352535957555,1,6545465,1,61.35
Chunky,579245932057555,1,,,
Circle Hub,567997124957555,1,,,
Circlebite,568066901768556,1,,,
Citruss Pleasure,793882015952555,1,,,
Climox,395694701969555,1,492949066,103,16.66
Code,867280110981555,1,,,
Cokkie Monster,867464757058555,1,,,
Concrete Mint,571509156987555,1,1400176320,4,61.35
Confuze,578090840871555,1,8939368,23,61.35
